Designator,Mid X,Mid Y,Rotation,Layer
J1,78.05,-30.4525,180.0,bottom
SW1,35.55,-35.5,0.0,top
SW10,86.55,-52.5,0.0,top
SW11,103.55,-52.5,0.0,top
SW12,120.55,-52.5,0.0,top
SW13,35.55,-69.5,0.0,top
SW14,52.55,-69.5,0.0,top
SW15,69.55,-69.5,0.0,top
SW16,86.55,-69.5,0.0,top
SW17,103.55,-69.5,0.0,top
SW18,120.55,-69.5,0.0,top
SW19,35.55,-86.5,0.0,top
SW2,52.55,-35.5,0.0,top
SW20,52.55,-86.5,0.0,top
SW21,69.55,-86.5,0.0,top
SW22,86.55,-86.5,0.0,top
SW23,103.55,-86.5,0.0,top
SW24,120.55,-86.5,0.0,top
SW25,35.55,-103.5,0.0,top
SW26,52.55,-103.5,0.0,top
SW27,69.55,-103.5,0.0,top
SW28,86.55,-103.5,0.0,top
SW29,103.55,-103.5,0.0,top
SW3,69.55,-35.5,0.0,top
SW30,120.55,-103.5,0.0,top
SW4,86.55,-35.5,0.0,top
SW5,103.55,-35.5,0.0,top
SW6,120.55,-35.5,0.0,top
SW7,35.55,-52.5,0.0,top
SW8,52.55,-52.5,0.0,top
SW9,69.55,-52.5,0.0,top
U1,122.475,-35.025,90.0,bottom
