Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0805,2,100n,C28233
"C2, C3",0805,2,4.7u,C1779
"C5, C6",0805,2,1u,C28323
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D4, D5, D6, D7, D8, D9",D_SOD-123F,30,D,C64898
D31,D_SMA,1,BSD3C051V,C151996
D32,0805,1,LED,C2297
F1,1206,1,750mA,C99536
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-14,1,USB_C_Receptacle_USB2.0_16P,C223907
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J3, J5",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J4, J6",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
"L1, L2",0402,2,BLM15PD121SN1D,
"Q1, Q2",SOT-23,2,2N7002,C8545
"R1, R2",0805,2,5.1k,C27834
"R10, R15",0805,2,100k,C149504
R11,0603,1,2M,C22976
R12,0805,1,806k,C63494
"R13, R8",0805,2,100,C17408
"R14, R6, R9",0805,3,10k,C17414
R3,0805,1,3.9k,C17614
"R4, R7",0805,2,1.5k,C4310
R5,0805,1,47k,C17713
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW4, SW5, SW6, SW7, SW8, SW9",SW_PG1316S,30,SW_Push,
"SW31, SW33",Slide,2,SW_SPDT,
"SW32, SW34",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SW_Push,
"U1, U5",nRF52840_holyiot_18010_HS_simple,2,nRF52840_holyiot_18010,
U2,SOT-23-6-routable,1,SRV05-4,C85364
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,C15464
U4,SOT-23-3,1,XC6206PxxxMR,
