Designator,Mid X,Mid Y,Rotation,Layer
C1,69.53,-33.52,0.0,bottom
C2,86.97,-52.955,180.0,bottom
C3,80.57,-46.855,90.0,bottom
C5,88.89,-43.78,0.0,bottom
C6,94.68,-48.11,135.0,bottom
C7,96.07,-49.48,135.0,bottom
D1,35.55,-33.0,0.0,top
D10,86.55,-50.0,0.0,top
D11,103.55,-50.0,0.0,top
D12,120.55,-50.0,0.0,top
D13,35.55,-67.0,0.0,top
D14,52.55,-67.0,0.0,top
D15,69.55,-67.0,0.0,top
D16,86.55,-67.0,0.0,top
D17,103.55,-67.0,0.0,top
D18,120.55,-67.0,0.0,top
D19,35.55,-84.0,0.0,top
D2,52.55,-33.0,0.0,top
D20,52.55,-84.0,0.0,top
D21,69.55,-84.0,0.0,top
D22,86.55,-84.0,0.0,top
D23,103.55,-84.0,0.0,top
D24,120.55,-84.0,0.0,top
D25,35.55,-101.0,0.0,top
D26,52.55,-101.0,0.0,top
D27,69.55,-101.0,0.0,top
D28,86.55,-101.0,0.0,top
D29,103.55,-101.0,0.0,top
D3,69.3,-33.0,0.0,top
D30,120.55,-101.0,0.0,top
D31,68.58,-30.78,180.0,bottom
D32,78.15,-45.0,90.0,top
D4,86.75,-33.0,0.0,top
D5,103.55,-33.0,0.0,top
D6,120.55,-33.0,0.0,top
D7,35.55,-50.0,0.0,top
D8,52.55,-50.0,0.0,top
D9,69.55,-50.0,0.0,top
F1,84.39,-40.12,270.0,bottom
J1,78.05,-33.43,180.0,bottom
J2,92.36,-31.26,270.0,bottom
J3,115.1,-51.185,0.0,bottom
J4,121.77,-30.86,270.0,bottom
J5,46.55,-51.17,0.0,bottom
J6,43.625,-54.055,180.0,bottom
L1,83.82,-36.54,270.0,bottom
L2,68.62,-28.56,180.0,bottom
Q1,103.37,-33.63,270.0,bottom
Q2,53.2275,-33.57,90.0,bottom
R1,74.0,-37.975,315.0,bottom
R10,100.72,-32.25,90.0,bottom
R11,97.9675,-45.55,180.0,bottom
R12,94.55,-43.9,225.0,bottom
R13,50.29,-35.99,90.0,bottom
R14,53.21,-36.45,180.0,bottom
R15,50.39,-32.29,90.0,bottom
R2,82.275,-38.25,270.0,bottom
R3,81.62,-51.855,270.0,bottom
R4,86.875,-50.125,270.0,bottom
R5,84.145,-51.855,270.0,bottom
R6,78.82,-49.68,0.0,bottom
R7,84.05,-44.5,0.0,top
R8,108.87,-34.69,0.0,bottom
R9,106.025,-32.35,90.0,bottom
SW1,35.55,-35.5,0.0,top
SW10,86.55,-52.5,0.0,top
SW11,103.55,-52.5,0.0,top
SW12,120.55,-52.5,0.0,top
SW13,35.55,-69.5,0.0,top
SW14,52.55,-69.5,0.0,top
SW15,69.55,-69.5,0.0,top
SW16,86.55,-69.5,0.0,top
SW17,103.55,-69.5,0.0,top
SW18,120.55,-69.5,0.0,top
SW19,35.55,-86.5,0.0,top
SW2,52.55,-35.5,0.0,top
SW20,52.55,-86.5,0.0,top
SW21,69.55,-86.5,0.0,top
SW22,86.55,-86.5,0.0,top
SW23,103.55,-86.5,0.0,top
SW24,120.55,-86.5,0.0,top
SW25,35.55,-103.5,0.0,top
SW26,52.55,-103.5,0.0,top
SW27,69.55,-103.5,0.0,top
SW28,86.55,-103.5,0.0,top
SW29,103.55,-103.5,0.0,top
SW3,69.55,-35.5,0.0,top
SW30,120.55,-103.5,0.0,top
SW31,103.18,-28.74,180.0,bottom
SW33,52.93,-28.74,180.0,bottom
SW4,86.55,-35.5,0.0,top
SW5,103.55,-35.5,0.0,top
SW6,120.55,-35.5,0.0,top
SW7,35.55,-52.5,0.0,top
SW8,52.55,-52.5,0.0,top
SW9,69.55,-52.5,0.0,top
U1,122.681,-34.825,90.0,bottom
U2,78.05,-40.43,180.0,bottom
U3,83.695,-47.88,180.0,bottom
U4,92.54,-45.97,225.0,bottom
U5,33.419,-34.825,270.0,bottom
